Father,Son
164.3,177.5
154.4,158.2
190.2,181.4
179.3,181.9
165.9,182.6
181.4,180.8
182.1,163.8
159.3,165.9
181.4,176.8
169.2,165.4
170.7,154.9
158.8,160.3
169.9,161.3
165.1,162.8
168.7,163.6
169.4,164.1
151.1,164.6
160.0,165.6
162.8,166.6
163.8,164.8
165.6,166.6
167.6,166.6
169.7,165.4
173.2,164.8
174.5,166.9
160.8,168.1
162.3,167.4
164.6,168.4
168.1,167.9
168.7,167.1
171.2,168.9
170.9,168.4
172.0,168.9
173.7,168.4
172.2,167.4
176.0,169.2
177.0,169.2
152.4,170.9
157.7,171.2
161.5,171.5
162.1,169.9
164.3,170.2
166.1,169.9
165.4,173.0
176.0,171.5
172.0,160.0
164.8,171.2
176.5,174.8
165.4,169.9
165.1,170.9
166.6,170.7
167.4,170.4
166.9,170.4
171.2,169.7
168.9,171.2
170.7,170.2
170.9,171.2
173.0,169.9
172.7,169.7
174.8,170.7
178.3,172.0
177.0,170.4
178.3,171.7
155.2,172.7
159.3,174.5
163.3,173.7
165.1,174.2
164.6,174.0
168.1,172.2
167.9,173.0
168.7,173.2
169.4,174.0
169.4,174.2
170.9,172.5
170.4,172.7
172.2,172.7
173.7,174.2
172.0,174.2
176.0,173.7
174.8,173.2
176.8,173.5
183.6,172.7
181.9,172.7
185.2,173.0
163.3,175.8
165.4,175.0
165.6,176.0
167.4,176.5
167.6,175.3
166.6,176.0
167.1,176.8
170.2,175.3
171.2,176.0
172.5,175.5
173.7,176.5
174.5,176.5
175.3,175.0
175.0,174.8
177.3,175.5
177.0,175.8
178.8,176.0
180.3,175.5
181.1,176.3
160.8,178.8
167.9,177.3
168.9,178.6
169.4,177.0
170.4,178.1
173.5,177.3
175.8,178.6
174.0,178.8
174.8,178.8
177.0,179.6
177.5,177.0
179.3,179.1
185.9,178.6
162.8,181.4
164.1,180.3
166.9,181.9
169.7,181.4
173.7,181.6
173.5,181.9
174.5,181.1
174.5,180.6
178.3,180.3
177.5,181.6
178.3,180.1
181.4,181.1
185.4,179.8
164.3,184.7
170.4,182.9
172.2,183.6
173.7,183.4
174.2,182.9
177.5,182.4
179.1,184.4
184.9,183.9
172.7,185.7
172.2,186.9
176.0,186.2
181.4,187.2
183.6,186.9
182.6,185.2
164.1,187.7
180.1,188.5
175.3,190.8
183.9,194.1
175.5,199.1
178.3,155.4
183.9,184.4
151.4,164.8
186.2,185.4
173.0,182.4
160.5,165.9
173.7,163.6
165.1,161.3
168.1,161.8
151.1,162.3
159.5,162.3
162.3,162.3
164.1,162.8
166.6,164.3
168.4,163.6
179.3,162.3
157.7,164.6
163.6,165.9
163.6,165.6
164.8,166.4
165.9,165.6
165.6,166.1
167.9,166.6
167.9,164.3
171.2,164.6
172.2,166.6
178.6,166.1
160.5,168.9
164.3,168.4
167.4,168.7
166.9,168.9
170.9,168.7
169.2,167.9
169.7,168.9
173.2,168.4
171.5,167.9
173.7,167.4
175.5,166.9
156.7,171.7
160.0,171.2
163.3,170.2
162.3,170.7
164.3,171.2
169.7,159.3
165.1,168.4
161.8,173.7
164.1,171.5
167.6,170.7
167.6,170.7
168.9,171.5
168.4,169.9
166.9,172.0
169.9,170.2
168.9,169.7
170.4,171.2
170.2,169.9
171.7,171.5
171.7,169.9
173.0,169.9
174.0,170.4
175.8,171.5
177.5,170.9
159.5,172.2
160.5,173.0
163.3,174.2
164.3,174.2
167.6,173.2
166.6,173.5
167.4,173.2
169.2,173.2
169.7,173.5
170.4,174.0
169.9,172.0
172.7,172.7
172.7,172.2
173.2,173.2
174.0,173.2
175.5,173.0
176.0,174.0
178.6,173.2
177.0,172.0
183.4,173.5
162.3,174.5
164.1,175.0
166.4,174.8
168.4,175.3
167.1,175.3
168.9,174.5
170.9,176.5
171.2,175.5
170.4,175.5
174.0,176.8
172.0,176.3
173.0,175.8
172.2,175.3
175.5,176.8
174.5,176.3
174.8,175.0
177.5,174.5
177.8,174.5
177.3,174.8
181.4,176.5
180.6,177.0
167.6,177.8
166.4,179.3
166.6,179.1
172.5,177.5
171.5,179.3
172.7,178.3
174.8,178.6
176.3,178.3
177.5,177.8
176.8,178.3
180.3,177.8
179.3,178.8
181.6,178.8
181.9,178.3
187.7,178.3
168.4,181.6
167.4,181.4
169.9,180.8
170.7,180.1
171.7,181.4
171.7,180.8
176.3,180.8
175.0,180.8
175.5,180.3
177.3,181.4
176.8,181.9
179.6,181.6
180.1,180.1
184.2,181.6
185.4,180.6
189.0,180.1
171.2,184.7
168.9,182.4
174.8,184.2
176.0,182.6
178.6,183.4
179.6,183.1
183.9,183.6
183.9,183.1
172.2,184.9
175.0,186.7
178.8,187.2
180.8,184.9
182.1,185.4
184.4,185.9
171.7,189.2
174.2,187.5
180.3,187.5
182.9,187.5
191.0,187.5
185.7,192.0
177.5,196.1
184.4,195.1
186.2,172.5
167.1,154.9
181.1,173.5
179.6,176.0
178.6,170.2
