id,trip_duration
id3724506,461.67
id1022665,377.83
id1050207,293.62
id1953798,412.72
id2779719,399.41
id3919893,282.3
id3565708,308.72
id3790574,250.1
id2417835,335.88
id2064319,399.63
id0872013,493.48
id2864718,320.34
id0713064,282.93
id3588843,221.31
id1954631,266.34
id2395960,317.2
id3421748,356.37
id2091499,342.09
id1280308,315.66
id0083248,263.41
id3048528,278.37
id0337732,529.01
id3144417,727.34
id2699203,447.03
id1464222,416.39
id1401914,695.74
id2907921,323.29
id1058959,387.89
id1149598,244.32
id3958729,400.35
id1635289,381.16
id0213955,269.43
id2029404,313.25
id0647877,436.93
id1914695,349.81
id3032626,517.37
id2736556,409.48
id1163558,449.24
id3678400,506.26
id2974904,308.2
id3199217,347.13
id0764884,354.6
id1277887,1289.92
id2134445,310.04
id0837630,466.99
id2493317,319.26
id1576327,324.93
id2880890,336.05
id3651589,282.05
id2144666,311.21
id0490926,344.6
id1338037,464.38
id2935919,319.98
id1974197,1315.61
id1710187,263.39
id0273936,294.36
id3278168,260.44
id2707378,331.22
id1311112,376.08
id2717262,455.8
id3069703,336.4
id0043316,299.16
id0835059,296.34
id2794758,260.64
id2862416,337.55
id2951776,242.82
id0072231,291.09
id1608467,333.24
id2749726,266.66
id0754894,412.99
id3334866,447.47
id2849037,376.46
id0106621,343.91
id0099770,534.82
id2851406,253.81
id1812624,310.09
id1076040,347.55
id2299499,294.71
id0047972,310.06
id2139089,267.48
id3286481,439.21
id3693696,372.99
id1265108,296.42
id0836969,439.01
id0576166,381.69
id2928724,370.85
id3082343,215.36
id1802824,285.98
id3085536,392.51
id2969878,398.58
id1900683,644.56
id2473474,383.96
id0459800,1168.02
id2234309,284.06
id0132948,214.95
id2872004,306.7
id0626303,309.71
id1217798,2133.53
id1929591,328.24
id1898555,335.66
id2926831,439.82
id2977184,422.51
id2460997,383.63
id3171076,343.71
id3688317,365.34
id0624840,177.35
id2442028,1279.35
id2721154,289.15
id2941295,325.85
id3371357,244.33
id1663046,628.64
id3157442,7199.73
id3186282,219.44
id2507216,369.26
id2098456,342.24
id2203178,2108.01
id2915030,263.32
id3946569,288.6
id0478291,221.25
id0911734,287.07
id2943355,251.84
id3603099,258.55
id2341363,435.71
id0876258,355.57
id2616372,280.79
id2473138,333.47
id0037876,2128.35
id3802590,349.77
id1875893,400.02
id3431745,283.03
id0723126,310.39
id0979764,540.62
id1213681,357.6
id2483466,454.66
id1599635,550.11
id2117736,400.06
id2433418,384.06
id1593357,211.99
id1903101,378.18
id1882608,344.86
id1486101,415.15
id3519555,421.52
id0288949,319.04
id2137511,244.23
id0835913,310.38
id1642600,337.79
id2296630,288.83
id2432182,438.18
id1767958,2122.8
id2880500,281.8
id1407083,398.76
id2223776,2193.61
id3957043,267.56
id3194858,315.4
id2474017,282.18
id1434123,345.92
id2639810,326.15
id2533841,332.1
id3929242,422.24
id0572363,405.79
id2516721,248.97
id1666408,328.04
id3978778,332.95
id1102538,402.57
id1819224,262.91
id1015874,325.23
id0162975,342.16
id3985153,365.25
id3791394,411.3
id0585349,284.28
id1086498,450.47
id0349333,365.12
id2629282,316.08
id2321861,398.99
id1632233,279.75
id1728458,293.87
id3192263,281.75
id3707739,227.65
id2915571,325.05
id0598147,242.53
id1682278,266.84
id3692480,351.89
id3819721,333.34
id3248350,471.14
id3507299,360.98
id3530546,489.29
id3997190,307.74
id0578284,258.71
id1021758,362.35
id0011654,244.91
id0829861,263.55
id3180285,395.72
id2074268,309.15
id3528742,508.07
id3703165,483.6
id1136337,502.06
id3112111,322.9
id3715122,319.21
id2066435,244.66
id0903585,249.42
id3696491,326.86
id3161229,435.3
id0418089,1206.71
id3117448,256.6
id3562327,207.28
id3298810,310.54
id2893215,411.21
id1023360,305.11
id3062698,1103.31
id0046886,1133.5
id3247129,343.79
id0516631,255.78
id2424822,336.09
id1441170,347.3
id3527721,695.68
id3623154,312.05
id3390481,313.76
id0276396,356.79
id2395430,387.42
id0120946,445.43
id1873562,395.99
id3519169,489.4
id3163809,429.94
id3119282,281.71
id1974000,233.38
id1563378,225.79
id0571196,143.37
id1114098,358.19
id3714621,360.93
id3486443,336.74
id0671527,424.46
id1333246,219.29
id0287837,292.9
id3401289,228.79
id3004650,324.51
id1035376,553.56
id2572207,227.28
id0675399,310.87
id1103775,269.89
id0169712,1249.42
id0530826,419.41
id3333457,312.06
id3630722,337.81
id3904589,328.67
id2124774,361.97
id2395462,342.65
id2371358,370.8
id0997466,264.66
id0486600,294.36
id1951586,406.18
id0953308,365.94
id0131717,277.75
id0383165,326.39
id1495044,230.9
id0775789,393.06
id2663808,434.22
id3466579,406.38
id2621945,328.36
id3087213,293.45
id1270288,350.37
id3010635,432.91
id3935369,1353.95
id0638846,366.83
id1467345,306.2
id1683435,1091.16
id0449804,249.45
id1403491,486.27
id2103640,276.15
id1124171,383.44
id1374656,308.62
id0861865,465.15
id2067140,268.02
id1393613,420.4
id1954327,308.03
id2282544,266.36
id3305572,340.66
id1827411,339.77
id2675105,299.36
id2674047,300.85
id1167283,441.88
id0544601,380.49
id1225611,224.98
id2176734,387.17
id3253355,203.45
id3100390,360.48
id1769549,313.32
id3544864,309.68
id0186547,297.95
id1738799,404.47
id2855619,552.2
id3393854,220.15
id0732119,419.71
id3830957,346.19
id3310509,492.37
id1659097,321.26
id1276760,383.98
id0241574,272.34
id2347483,263.38
id3426140,322.23
id2881443,453.75
id1358063,1182.47
id0171750,452.17
id3484684,2882.16
id1561696,346.41
id2289532,361.49
id0382935,401.65
id0618799,455.03
id1619391,307.98
id2229301,421.59
id1770798,418.15
id1548838,503.08
id1684251,512.5
id3966492,352.87
id1095515,359.58
id3737206,340.19
id1800425,1232.99
id0840233,397.74
id2411085,414.45
id2020658,13246.93
id0277418,328.94
id0659451,332.51
id1039046,283.14
id2118589,451.14
id0996113,294.75
id2285668,364.23
id0954502,338.33
id3383457,375.38
id1596281,321.69
id1188417,427.68
id2950249,347.83
id2624364,419.1
id3915297,295.47
id0890152,343.72
id1499713,289.29
id3235106,389.73
id1498763,267.37
id0065985,312.19
id3448998,274.07
id0373169,374.73
id0592424,361.34
id2753793,361.04
id1816667,325.8
id0685329,338.3
id2432958,212.97
id1143989,171.5
id0248855,282.16
id1824808,205.44
id3659681,1248.74
id2429823,244.36
id3714237,298.16
id1464272,281.77
id1824382,346.21
id2274549,340.01
id2540752,380.31
id0405218,319.15
id3748083,295.1
id0712785,420.79
id2042119,218.43
id0252853,234.19
id0586133,263.61
id2605046,246.33
id1473770,244.69
id0465359,285.84
id1775550,516.07
id3114438,285.84
id3794972,345.07
id1237036,403.86
id1726727,270.17
id1714997,259.04
id1393985,296.2
id3823912,303.89
id2196770,354.65
id1763304,527.08
id1876165,203.13
id0924032,407.74
id2938446,546.08
id1579018,1188.11
id0160211,330.32
id3016304,370.33
id1389092,260.36
id1930080,321.05
id2716227,355.76
id3182849,262.0
id0229150,376.17
id3928759,383.4
id3539009,296.83
id1277031,265.31
id3520700,367.62
id1381395,436.86
id0846718,358.33
id1289649,262.62
id2594194,331.59
id0480231,242.86
id3521587,252.94
id1524964,458.35
id3285153,277.5
id1692289,286.72
id3754290,237.05
id3749710,262.59
id3679836,498.62
id0903677,461.55
id2379296,279.85
id2164935,370.68
id3822217,296.49
id2316210,273.14
id3709691,219.22
id2044329,417.84
id1181838,390.36
id2756856,226.94
id1224352,446.05
id1841152,246.17
id3866403,298.94
id3094267,315.61
id3889445,1150.64
id0945244,313.64
id2054825,403.78
id3863719,289.94
id2225142,419.87
id2113222,461.08
id2252146,377.78
id1416054,444.2
id2256041,326.52
id0981181,265.63
id3492473,332.17
id2405312,298.18
id2333146,414.4
id2920122,377.19
id0371797,318.45
id1969121,306.21
id0061433,310.65
id1461525,244.83
id1333803,271.98
id2373434,267.49
id0408264,362.16
id2751375,396.83
id0965356,254.45
id1220108,249.75
id3839065,1230.33
id1313808,354.36
id1095291,474.0
id1632151,356.1
id2191547,341.58
id3449587,275.32
id1761547,289.39
id3664907,405.44
id0571965,342.16
id2567973,290.8
id2915687,420.82
id3045653,310.08
id1908196,335.56
id2376776,343.84
id3023439,201.48
id3229178,268.89
id0470927,483.85
id1144074,2956.11
id3308550,402.15
id2897179,220.38
id2927031,500.15
id1526648,299.63
id0125743,271.95
id0530653,1155.23
id0529621,303.21
id1818018,2124.37
id3169090,193.04
id2757756,394.08
id1641045,245.56
id1992821,471.4
id3821618,260.35
id3223992,339.23
id0976101,355.49
id2189114,2033.52
id1398195,361.99
id0729761,347.36
id1234137,212.01
id1085823,1019.58
id3412216,336.83
id2951718,295.81
id1247457,486.55
id1334596,386.92
id0336256,353.64
id0146637,257.33
id3023895,451.72
id0464897,580.26
id2423406,448.54
id0867887,237.79
id2372543,502.67
id0138415,357.38
id0761507,2313.7
id2104152,1209.71
id2524829,312.03
id3143804,466.68
id1777041,339.52
id0552302,353.45
id3490949,286.3
id2534370,605.48
id3869879,287.2
id2452836,267.46
id0333182,352.95
id1558206,294.93
id3745940,666.48
id3139669,393.32
id1721493,373.84
id2021491,310.53
id1995021,459.7
id3450831,245.48
id3821695,470.73
id1148588,314.59
id0506153,424.61
id3284197,238.27
id2281050,335.69
id0155149,334.46
id2135985,307.36
id1106103,539.7
id0702627,347.99
id0552749,279.69
id1247092,319.93
id2571605,471.43
id3142600,343.21
id3082244,279.71
id2255622,223.82
id0847101,302.76
id3365137,324.67
id1761043,272.62
id0348224,385.83
id0534402,479.82
id2524340,347.38
id2518868,316.02
id2523126,1199.88
id3018669,277.42
id3605280,350.59
id2576766,1201.3
id3573502,312.1
id1456867,320.0
id3937117,252.02
id0411965,235.88
id0937052,354.91
id2331885,344.02
id2463662,333.25
id1243011,300.74
id2694120,303.74
id2359244,329.44
id0081665,356.91
id3260542,300.37
id0877403,247.99
id1024260,455.29
id1575839,393.75
id1231662,355.49
id3330761,1224.85
id3626658,1277.52
id1988410,416.13
id3076936,416.35
id3270671,371.16
id2033487,445.79
id0135103,1986.02
id1997417,340.55
id2081319,217.18
id1085826,481.25
id1383848,383.26
id1182821,348.28
id3310621,517.39
id3642834,402.57
id2812162,245.81
id3284132,441.2
id2970929,349.91
id0926565,208.6
id2502412,291.1
id2488850,377.76
id1876486,368.28
id1174279,257.4
id2509920,369.94
id1396323,460.57
id2922491,329.55
id1233671,413.09
id2030006,424.6
id3090495,480.91
id3583482,337.82
id0282122,6441.17
id2292897,252.1
id3074505,596.97
id2116986,361.18
id1176685,397.42
id3389981,506.06
id3447141,2909.43
id2751598,256.42
id1270281,296.39
id3824489,348.16
id3421109,456.37
id0526287,495.93
id1866581,338.01
id0165955,376.87
id1430276,271.92
id0147852,358.58
id0302863,337.36
id1343319,401.55
id3261046,244.29
id0682336,368.14
id3292345,376.73
id0492906,472.75
id2362904,332.21
id1297347,372.73
id0271048,439.52
id3052602,390.72
id0627269,364.13
id1793644,383.19
id2633092,371.44
id2780332,289.26
id1160796,315.93
id2650986,389.59
id2279988,355.4
id1413923,329.99
id1679101,489.35
id1927526,653.28
id1277931,409.87
id1270273,245.54
id3033369,307.13
id0544565,894.03
id1276717,454.04
id0194349,319.12
id0713662,325.64
id3553499,307.64
id3632042,263.35
id1673660,246.79
id0868049,281.47
id1919248,451.42
id2190529,234.08
id3844023,415.98
id2990644,309.78
id1868572,652.31
id2245090,341.05
id3483478,322.01
id2457172,359.96
id0519235,260.55
id2453812,433.19
id2460060,232.95
id3408943,408.52
id1255033,466.08
id0922165,295.23
id1022173,303.04
id1391454,413.67
id2344407,476.3
id1296689,475.53
id2978608,373.05
id2639062,356.18
id2210008,322.26
id2760825,317.21
id2827576,275.72
id1689867,351.05
id1134780,188.95
id2910093,1512.09
id0307600,298.36
id1063193,289.18
id3280584,265.61
id2201953,245.93
id0248010,306.31
id2625580,320.98
id3168259,333.94
id1172087,264.04
id1683407,343.6
id1124550,223.2
id1900042,335.87
id2990083,396.58
id2861595,324.98
id2350748,1269.93
id2144678,569.34
id1521124,304.92
id1967202,316.9
id3559039,278.71
id2638563,342.91
id3831689,307.55
id2980847,297.32
id1985537,343.47
id1845703,1418.53
id2103334,271.26
id0583104,272.19
id1366352,533.57
id2889726,322.85
id0711934,455.72
id3367872,348.66
id1926286,621.26
id1489408,280.18
id3936436,346.66
id3091780,404.5
id0021604,368.98
id0458931,398.16
id3683895,452.69
id2255661,269.89
id2070984,487.86
id1242829,290.82
id2313902,355.38
id2712699,290.88
id2777209,381.25
id1751990,518.73
id3847575,270.95
id3114958,245.11
id2139064,271.83
id3723650,387.86
id3573494,469.62
id0600331,237.5
id2610888,369.56
id0818633,384.73
id1430082,348.58
id1812164,349.97
id3477436,347.59
id2234826,525.87
id3514352,318.05
id1818268,295.09
id2803344,363.05
id1596541,279.5
id1238023,383.34
id1399650,313.24
id2802823,222.27
id2216120,296.22
id0453451,449.37
id1728232,2131.66
id2859007,334.63
id1829762,353.3
id2260447,398.21
id3022522,1191.57
id2568710,419.73
id1709449,287.81
id2639252,350.47
id3252525,279.58
id2518908,479.07
id1391099,436.24
id3497842,293.0
id3203454,569.13
id0404758,434.64
id0374891,251.18
id3105887,337.33
id3528576,430.64
id2818912,286.82
id2563171,436.72
id2203808,541.79
id3480493,282.89
id1012809,326.8
id0142607,327.13
id3490706,479.49
id3177769,246.91
id3007183,316.19
id2502791,425.86
id0054285,363.99
id1774061,586.1
id1437110,296.26
id2791075,274.42
id0831144,262.96
id2527279,324.43
id3566348,331.98
id2371683,390.98
id0523982,262.79
id2376824,3029.9
id3126501,1341.47
id0895884,389.04
id3034831,349.49
id2216351,436.62
id0673535,315.03
id3531062,369.58
id0925771,436.88
id3811512,391.73
id2069078,325.15
id1163770,1403.39
id3040178,404.77
id1387399,1297.08
id2144454,517.76
id3114425,323.18
id0349862,269.77
id0013585,401.04
id3510958,373.06
id0202326,359.34
id2754953,429.56
id1989966,2052.93
id1350419,898.81
id3526700,351.99
id3121798,432.67
id1011027,340.22
id2492179,326.6
id0207851,223.51
id1343103,368.99
id3125146,258.1
id0946922,2031.46
id1784755,496.04
id2891428,381.73
id1313902,337.44
id0909884,398.43
id3646660,1210.06
id2258662,286.85
id3927095,326.91
id2575791,410.69
id3850897,233.66
id1986782,466.44
id1248935,647.75
id3714988,346.33
id0842188,287.35
id2770104,285.27
id3749119,243.72
id0318549,342.75
id3815169,325.82
id0381203,366.45
id0822891,333.82
id1777104,369.43
id3388763,415.57
id0994156,268.93
id0208047,235.2
id2405639,376.03
id3168834,378.99
id1418102,449.9
id2176830,1181.65
id1322980,426.37
id1052684,291.8
id3797879,407.76
id2238699,408.52
id1622688,312.02
id1912569,311.4
id3886940,401.41
id0330364,257.85
id2052986,334.34
id0272202,355.23
id0595361,337.93
id1721684,412.33
id2900076,365.91
id2389097,281.04
id0161765,345.67
id3800154,335.42
id3734956,663.24
id2981231,275.31
id1802791,641.51
id3249233,404.0
id1553370,297.25
id2826382,328.07
id3062446,355.84
id3059605,475.29
id0072130,424.11
id2762689,456.62
id2774654,385.53
id0408520,454.27
id0703823,294.97
id2751623,254.98
id0310826,352.98
id0352321,305.78
id0810861,409.76
id1526008,323.14
id1353563,311.64
id0309774,438.52
id1203135,459.24
id2217563,416.7
id3369419,309.3
id2672712,515.49
id3172439,423.28
id1457992,256.83
id2177463,1075.55
id1073447,362.64
id1612588,303.54
id3857941,533.29
id3867209,334.8
id2251451,266.14
id2980918,382.7
id3358242,360.07
id3347120,375.33
id3007157,350.49
id3550900,444.54
id3951325,528.76
id3525175,370.43
id0894611,748.47
id0420197,396.25
id1883419,445.41
id3172262,536.57
id1715890,261.65
id2453611,256.72
id2120559,344.23
id2706051,329.32
id3527914,318.65
id1528153,356.28
id2948633,371.08
id0677486,259.96
id3008737,330.58
id0690337,275.68
id3204078,278.7
id2131024,320.95
id0421059,338.36
id1755530,250.25
id0443505,2848.49
id1237491,344.12
id0471669,234.14
id2700708,338.65
id2644446,369.16
id1392413,255.61
id1508819,494.43
id0636186,245.61
id1965954,594.66
id2884302,395.5
id0867345,456.2
id2558360,343.88
id3116480,242.91
id2028909,404.87
id1554578,7221.55
id2633691,346.17
id3494068,451.46
id3847642,330.7
id2143850,306.7
id3107748,318.57
id2977275,230.33
id2163757,451.79
id3576039,243.05
id3290234,381.32
id1793773,281.32
id3299840,955.75
id1896376,297.17
id2983332,214.53
id0542789,291.53
id2835750,380.67
id0574907,341.81
id1778825,489.24
id1465797,1419.44
id0616546,309.49
id2874356,482.02
id0396924,275.46
id3407648,279.24
id2932781,239.53
id3662528,539.39
id1247161,322.84
id1150587,417.57
id2046471,339.91
id2852787,437.28
id0024616,245.91
id3927216,374.38
id1734785,377.65
id0151870,428.53
id0061314,313.96
id2176011,282.1
id0954185,107.68
id1006580,370.0
id0199112,338.26
id2657489,373.38
id2475728,312.07
id2921901,406.47
id1035780,323.89
id0350597,377.12
id2240277,1269.18
id3290112,328.33
id0433114,367.81
id2721572,347.95
id3767518,336.43
id1350849,485.0
id3528226,290.08
id0707206,1349.03
id3535133,263.97
id3107248,4690.73
id3808430,435.76
id0128716,322.27
id3430916,253.85
id1869733,369.42
id1094955,230.34
id3064919,328.06
id3249059,362.7
id3512178,573.1
id1835264,419.35
id3140226,365.45
id3143732,730.58
id2103585,294.84
id3976329,355.64
id1159629,362.93
id0062694,342.23
id3384791,1387.14
id3029652,425.67
id0125059,286.68
id3332423,324.54
id1481420,365.14
id0639854,277.25
id1589792,558.52
id3415109,292.69
id0416794,358.6
id2222114,337.79
id1582655,314.05
id1846752,255.62
id2525060,389.1
id3957042,318.86
id1114277,374.17
id1648450,305.57
id3254036,343.98
id1442708,333.24
id1843148,336.86
id1759160,381.42
id0619146,304.01
id1111335,286.43
id3121692,347.37
id1934241,324.27
id1471865,256.55
id2161089,296.77
id0401210,357.82
id3961896,367.21
id2860204,2848.08
id2799639,607.75
id2111283,257.06
id2266840,496.44
id2812170,217.51
id0747807,392.3
id3068170,578.3
id0293609,417.97
id3553490,450.33
id0474774,421.03
id1948413,467.66
id2147938,436.3
id2631408,392.67
id3578384,283.07
id1246009,291.67
id1166070,363.06
id3443296,314.75
id1868571,418.17
id0895464,247.75
id0721225,317.14
id2975199,269.8
id3316768,236.0
id0893764,268.04
id0975008,271.12
id1021936,328.61
id3249876,440.29
id0112890,456.14
id2575349,344.28
id3278789,1294.29
id1097635,385.01
id0231962,1086.14
id0142705,744.84
id1587118,352.82
id2467417,225.81
id2400833,303.36
id3471308,329.22
id2283666,529.36
id0292371,1943.53
id3522842,258.58
id0005670,550.68
id3230191,315.48
id2831037,381.23
id3868611,663.35
id2349033,238.45
id0265192,394.36
id3979259,1179.98
id2110446,310.4
id1186858,525.77
id2066268,297.91
id0095466,324.54
id3681845,316.68
id2117564,366.22
id3306489,358.55
id2342845,335.9
id3426034,702.09
id0682147,229.72
id1891031,515.32
id3446928,268.07
id0800798,307.65
id3118661,338.63
id3055566,381.62
id3990685,532.25
id1746047,299.86
id3346301,318.18
id2786351,2101.07
id0898207,407.67
id0512405,391.48
id0569457,372.88
id2537360,304.27
id1744071,726.27
id0568768,377.56
id3259543,420.07
id1763781,358.09
id2410816,2028.72
id3861807,298.25
id1924110,278.55
id0875366,387.58
id1741950,529.7
id2756490,362.12
id3314672,324.54
id0662107,332.05
id1284774,345.32
id1134056,330.78
id1413239,423.66
id3170449,414.23
id2070236,310.2
